time,V_n,W_n,
9.143,8.140113830566406,159.84140014648438,
9.143,8.140113830566406,159.84140014648438,
9.144,8.140113830566406,159.84140014648438,
9.144,8.140113830566406,159.84140014648438,
9.145,8.140113830566406,159.84140014648438,
9.145,8.140113830566406,159.84140014648438,
9.146,8.140113830566406,159.84140014648438,
9.146,8.140113830566406,159.84140014648438,
9.147,8.140113830566406,159.84140014648438,
9.147,8.150114059448242,160.03817749023438,
9.148,8.150114059448242,160.03817749023438,
9.148,8.150114059448242,160.03817749023438,
9.149,8.150114059448242,160.03817749023438,
9.149,8.150114059448242,160.03817749023438,
9.15,8.150114059448242,160.03817749023438,
9.15,8.150114059448242,160.03817749023438,
9.151,8.150114059448242,160.03817749023438,
9.151,8.150114059448242,160.03817749023438,
9.152,8.150114059448242,160.03817749023438,
9.152,8.150114059448242,160.03817749023438,
9.153,8.150114059448242,160.03817749023438,
9.153,8.150114059448242,160.03817749023438,
9.154,8.150114059448242,160.03817749023438,
9.154,8.150114059448242,160.03817749023438,
9.155,8.150114059448242,160.03817749023438,
9.155,8.150114059448242,160.03817749023438,
9.156,8.150114059448242,160.03817749023438,
9.156,8.150114059448242,160.03817749023438,
9.157,8.150114059448242,160.03817749023438,
9.157,8.160114288330078,160.2349395751953,
9.158,8.160114288330078,160.2349395751953,
9.158,8.160114288330078,160.2349395751953,
9.159,8.160114288330078,160.2349395751953,
9.159,8.160114288330078,160.2349395751953,
9.16,8.160114288330078,160.2349395751953,
9.16,8.160114288330078,160.2349395751953,
9.161,8.160114288330078,160.2349395751953,
9.161,8.160114288330078,160.2349395751953,
9.162,8.160114288330078,160.2349395751953,
9.162,8.160114288330078,160.2349395751953,
9.163,8.160114288330078,160.2349395751953,
9.163,8.160114288330078,160.2349395751953,
9.164,8.160114288330078,160.2349395751953,
9.164,8.160114288330078,160.2349395751953,
9.165,8.160114288330078,160.2349395751953,
9.165,8.160114288330078,160.2349395751953,
9.166,8.160114288330078,160.2349395751953,
9.166,8.160114288330078,160.2349395751953,
9.167,8.160114288330078,160.2349395751953,
9.167,8.170114517211914,160.4317169189453,
9.168,8.170114517211914,160.4317169189453,
9.168,8.170114517211914,160.4317169189453,
9.169,8.170114517211914,160.4317169189453,
9.169,8.170114517211914,160.4317169189453,
9.17,8.170114517211914,160.4317169189453,
9.17,8.170114517211914,160.4317169189453,
9.171,8.170114517211914,160.4317169189453,
9.171,8.170114517211914,160.4317169189453,
9.172,8.170114517211914,160.4317169189453,
9.172,8.170114517211914,160.4317169189453,
9.173,8.170114517211914,160.4317169189453,
9.173,8.170114517211914,160.4317169189453,
9.174,8.170114517211914,160.4317169189453,
9.174,8.170114517211914,160.4317169189453,
9.175,8.170114517211914,160.4317169189453,
9.175,8.170114517211914,160.4317169189453,
9.176,8.170114517211914,160.4317169189453,
9.176,8.170114517211914,160.4317169189453,
9.177,8.170114517211914,160.4317169189453,
9.177,8.18011474609375,160.6284637451172,
9.178,8.18011474609375,160.6284637451172,
9.178,8.18011474609375,160.6284637451172,
9.179,8.18011474609375,160.6284637451172,
9.179,8.18011474609375,160.6284637451172,
9.18,8.18011474609375,160.6284637451172,
9.18,8.18011474609375,160.6284637451172,
9.181,8.18011474609375,160.6284637451172,
9.181,8.18011474609375,160.6284637451172,
9.182,8.18011474609375,160.6284637451172,
9.182,8.18011474609375,160.6284637451172,
9.183,8.18011474609375,160.6284637451172,
9.183,8.18011474609375,160.6284637451172,
9.184,8.18011474609375,160.6284637451172,
9.184,8.18011474609375,160.6284637451172,
9.185,8.18011474609375,160.6284637451172,
9.185,8.18011474609375,160.6284637451172,
9.186,8.18011474609375,160.6284637451172,
9.186,8.18011474609375,160.6284637451172,
9.187,8.18011474609375,160.6284637451172,
9.187,8.190114974975586,160.82525634765625,
9.188,8.190114974975586,160.82525634765625,
9.188,8.190114974975586,160.82525634765625,
9.189,8.190114974975586,160.82525634765625,
9.189,8.190114974975586,160.82525634765625,
9.19,8.190114974975586,160.82525634765625,
9.19,8.190114974975586,160.82525634765625,
9.191,8.190114974975586,160.82525634765625,
9.191,8.190114974975586,160.82525634765625,
9.192,8.190114974975586,160.82525634765625,
9.192,8.190114974975586,160.82525634765625,
9.193,8.190114974975586,160.82525634765625,
9.193,8.190114974975586,160.82525634765625,
9.194,8.190114974975586,160.82525634765625,
9.194,8.190114974975586,160.82525634765625,
9.195,8.190114974975586,160.82525634765625,
9.195,8.190114974975586,160.82525634765625,
9.196,8.190114974975586,160.82525634765625,
9.196,8.190114974975586,160.82525634765625,
9.197,8.190114974975586,160.82525634765625,
9.197,8.200115203857422,161.0220184326172,
9.198,8.200115203857422,161.0220184326172,
9.198,8.200115203857422,161.0220184326172,
9.199,8.200115203857422,161.0220184326172,
9.199,8.200115203857422,161.0220184326172,
9.2,8.200115203857422,161.0220184326172,
9.2,8.200115203857422,161.0220184326172,
9.201,8.200115203857422,161.0220184326172,
9.201,8.200115203857422,161.0220184326172,
9.202,8.200115203857422,161.0220184326172,
9.202,8.200115203857422,161.0220184326172,
9.203,8.200115203857422,161.0220184326172,
9.203,8.200115203857422,161.0220184326172,
9.204,8.200115203857422,161.0220184326172,
9.204,8.200115203857422,161.0220184326172,
9.205,8.200115203857422,161.0220184326172,
9.205,8.200115203857422,161.0220184326172,
9.206,8.200115203857422,161.0220184326172,
9.206,8.200115203857422,161.0220184326172,
9.207,8.200115203857422,161.0220184326172,
9.207,8.210115432739258,161.2187957763672,
9.208,8.210115432739258,161.2187957763672,
9.208,8.210115432739258,161.2187957763672,
9.209,8.210115432739258,161.2187957763672,
9.209,8.210115432739258,161.2187957763672,
9.21,8.210115432739258,161.2187957763672,
9.21,8.210115432739258,161.2187957763672,
9.211,8.210115432739258,161.2187957763672,
9.211,8.210115432739258,161.2187957763672,
9.212,8.210115432739258,161.2187957763672,
9.212,8.210115432739258,161.2187957763672,
9.213,8.210115432739258,161.2187957763672,
9.213,8.210115432739258,161.2187957763672,
9.214,8.210115432739258,161.2187957763672,
9.214,8.210115432739258,161.2187957763672,
9.215,8.210115432739258,161.2187957763672,
9.215,8.210115432739258,161.2187957763672,
9.216,8.210115432739258,161.2187957763672,
9.216,8.210115432739258,161.2187957763672,
9.217,8.210115432739258,161.2187957763672,
9.217,8.220115661621094,161.41555786132812,
9.218,8.220115661621094,161.41555786132812,
9.218,8.220115661621094,161.41555786132812,
9.219,8.220115661621094,161.41555786132812,
9.219,8.220115661621094,161.41555786132812,
9.22,8.220115661621094,161.41555786132812,
9.22,8.220115661621094,161.41555786132812,
9.221,8.220115661621094,161.41555786132812,
9.221,8.220115661621094,161.41555786132812,
9.222,8.220115661621094,161.41555786132812,
9.222,8.220115661621094,161.41555786132812,
9.223,8.220115661621094,161.41555786132812,
9.223,8.220115661621094,161.41555786132812,
9.224,8.220115661621094,161.41555786132812,
9.224,8.220115661621094,161.41555786132812,
