time,V_n,W_n
11.558,10.56404305,182.0558929
11.558,10.56404305,182.0558929
11.559,10.56504345,182.0732422
11.559,10.56504345,182.0732422
11.56,10.56604385,182.0905914
11.56,10.56604385,182.0905914
11.561,10.56704426,182.1079407
11.561,10.56704426,182.1079407
11.562,10.56804466,182.1252747
11.562,10.56804466,182.1252747
11.563,10.56904507,182.1426086
11.563,10.56904507,182.1426086
11.564,10.57004547,182.1599579
11.564,10.57004547,182.1599579
11.565,10.57104588,182.1772919
11.565,10.57104588,182.1772919
11.566,10.57204628,182.1946411
11.566,10.57204628,182.1946411
11.567,10.57304668,182.2119904
11.567,10.57304668,182.2119904
11.568,10.57404709,182.2293396
11.568,10.57404709,182.2293396
11.569,10.57504749,182.2466888
11.569,10.57504749,182.2466888
11.57,10.5760479,182.2640381
11.57,10.5760479,182.2640381
11.571,10.5770483,182.2813873
11.571,10.5770483,182.2813873
11.572,10.57804871,182.2987366
11.572,10.57804871,182.2987366
11.573,10.57904911,182.3160858
11.573,10.57904911,182.3160858
11.574,10.58004951,182.3334198
11.574,10.58004951,182.3334198
11.575,10.58104992,182.3507538
11.575,10.58104992,182.3507538
11.576,10.58205032,182.368103
11.576,10.58205032,182.368103
11.577,10.58305073,182.385437
11.577,10.58305073,182.385437
11.578,10.58405113,182.4027863
11.578,10.58405113,182.4027863
11.579,10.58505154,182.4201202
11.579,10.58505154,182.4201202
11.58,10.58605194,182.4374695
11.58,10.58605194,182.4374695
11.581,10.58705235,182.4548187
11.581,10.58705235,182.4548187
11.582,10.58805275,182.4721832
11.582,10.58805275,182.4721832
11.583,10.58905315,182.4895325
11.583,10.58905315,182.4895325
11.584,10.59005356,182.5068817
11.584,10.59005356,182.5068817
11.585,10.59105396,182.524231
11.585,10.59105396,182.524231
11.586,10.59205437,182.5415649
11.586,10.59205437,182.5415649
11.587,10.59305477,182.5588989
11.587,10.59305477,182.5588989
11.588,10.59405518,182.5762482
11.588,10.59405518,182.5762482
11.589,10.59505558,182.5935822
11.589,10.59505558,182.5935822
11.59,10.59605598,182.6109314
11.59,10.59605598,182.6109314
11.591,10.59705639,182.6282654
11.591,10.59705639,182.6282654
11.592,10.59805679,182.6456146
11.592,10.59805679,182.6456146
11.593,10.5990572,182.6629639
11.593,10.5990572,182.6629639
11.594,10.6000576,182.6803284
11.594,10.6000576,182.6803284
11.595,10.60105801,182.6976776
11.595,10.60105801,182.6976776
11.596,10.60205841,182.7150269
11.596,10.60205841,182.7150269
11.597,10.60305882,182.7323761
11.597,10.60305882,182.7323761
11.598,10.60405922,182.7497101
11.598,10.60405922,182.7497101
11.599,10.60505962,182.7670441
11.599,10.60505962,182.7670441
11.6,10.60606003,182.7843933
11.6,10.60606003,182.7843933
11.601,10.60706043,182.8017273
11.601,10.60706043,182.8017273
11.602,10.60806084,182.8190765
11.602,10.60806084,182.8190765
11.603,10.60906124,182.8364105
11.603,10.60906124,182.8364105
11.604,10.61006165,182.8537598
11.604,10.61006165,182.8537598
11.605,10.61106205,182.871109
11.605,10.61106205,182.871109
11.606,10.61206245,182.8884735
11.606,10.61206245,182.8884735
11.607,10.61306286,182.9058228
11.607,10.61306286,182.9058228
11.608,10.61406326,182.923172
11.608,10.61406326,182.923172
11.609,10.61506367,182.9405212
11.609,10.61506367,182.9405212
11.61,10.61606407,182.9578552
11.61,10.61606407,182.9578552
11.611,10.61706448,182.9751892
11.611,10.61706448,182.9751892
11.612,10.61806488,182.9925385
11.612,10.61806488,182.9925385
11.613,10.61906528,183.0098724
11.613,10.61906528,183.0098724
11.614,10.62006569,183.0272217
11.614,10.62006569,183.0272217
11.615,10.62106609,183.0445557
11.615,10.62106609,183.0445557
11.616,10.6220665,183.0619049
11.616,10.6220665,183.0619049
11.617,10.6230669,183.0792542
11.617,10.6230669,183.0792542
11.618,10.62406731,183.0966187
11.618,10.62406731,183.0966187
11.619,10.62506771,183.1139679
11.619,10.62506771,183.1139679
11.62,10.62606812,183.1313171
11.62,10.62606812,183.1313171
11.621,10.62706852,183.1486664
11.621,10.62706852,183.1486664
11.622,10.62806892,183.1660004
11.623,10.62806892,183.1660004
11.623,10.62906933,183.1833496
11.624,10.62906933,183.1833496
11.624,10.63006973,183.2006989
11.625,10.63006973,183.2006989
11.625,10.63107014,183.2180328
11.625,10.63107014,183.2180328
11.626,10.63207054,183.2353821
11.626,10.63207054,183.2353821
11.627,10.63307095,183.2527313
11.627,10.63307095,183.2527313
11.628,10.63407135,183.2700806
11.628,10.63407135,183.2700806
11.629,10.63507175,183.2874298
11.629,10.63507175,183.2874298
11.63,10.63607216,183.3047791
11.63,10.63607216,183.3047791
11.631,10.63707256,183.3221283
11.631,10.63707256,183.3221283
11.632,10.63807297,183.3394775
11.632,10.63807297,183.3394775
11.633,10.63907337,183.3568268
11.633,10.63907337,183.3568268
11.634,10.64007378,183.374176
11.634,10.64007378,183.374176
11.635,10.64107418,183.39151
11.635,10.64107418,183.39151
11.636,10.64207458,183.4088593
11.636,10.64207458,183.4088593
11.637,10.64307499,183.4261932
11.637,10.64307499,183.4261932
11.638,10.64407539,183.4435425
11.638,10.64407539,183.4435425
11.639,10.6450758,183.4608917
11.639,10.6450758,183.4608917
11.64,10.6460762,183.4782257
11.64,10.6460762,183.4782257
11.641,10.64707661,183.495575
11.641,10.64707661,183.495575
11.642,10.64807701,183.5129242
11.642,10.64807701,183.5129242
11.643,10.64907742,183.5302734
11.643,10.64907742,183.5302734
11.644,10.65007782,183.5476227
11.644,10.65007782,183.5476227
11.645,10.65107822,183.5649719
11.645,10.65107822,183.5649719
11.646,10.65207863,183.5823212
11.646,10.65207863,183.5823212
11.647,10.65307903,183.5996552
11.647,10.65307903,183.5996552
11.648,10.65407944,183.6170044
11.648,10.65407944,183.6170044
11.649,10.65507984,183.6343384
11.649,10.65507984,183.6343384
11.65,10.65608025,183.6516876
11.65,10.65608025,183.6516876
11.651,10.65708065,183.6690369
11.651,10.65708065,183.6690369
11.652,10.65808105,183.6863708
11.652,10.65808105,183.6863708
11.653,10.65908146,183.7037201
11.653,10.65908146,183.7037201
11.654,10.66008186,183.7210693
11.654,10.66008186,183.7210693
11.655,10.66108227,183.7384186
11.655,10.66108227,183.7384186
11.656,10.66208267,183.7557678
11.656,10.66208267,183.7557678
11.657,10.66308308,183.7731171
11.657,10.66308308,183.7731171
11.658,10.66408348,183.7904663
11.658,10.66408348,183.7904663
11.659,10.66508389,183.8078003
11.659,10.66508389,183.8078003
11.66,10.66608429,183.8251495
11.66,10.66608429,183.8251495
11.661,10.66708469,183.8424835
11.661,10.66708469,183.8424835
11.662,10.6680851,183.8598328
11.662,10.6680851,183.8598328
11.663,10.6690855,183.877182
11.663,10.6690855,183.877182
11.664,10.67008591,183.894516
11.664,10.67008591,183.894516
11.665,10.67108631,183.9118652
11.665,10.67108631,183.9118652
11.666,10.67208672,183.9292145
11.666,10.67208672,183.9292145
11.667,10.67308712,183.9465637
11.667,10.67308712,183.9465637
11.668,10.67408752,183.9638977
11.668,10.67408752,183.9638977
11.669,10.67508793,183.9812469
11.669,10.67508793,183.9812469
11.67,10.67608833,183.9985809
11.67,10.67608833,183.9985809
11.671,10.67708874,184.0159302
11.671,10.67708874,184.0159302
11.672,10.67808914,184.0332794
11.672,10.67808914,184.0332794
11.673,10.67908955,184.0506134
11.673,10.67908955,184.0506134
11.674,10.68008995,184.0679626
11.674,10.68008995,184.0679626
11.675,10.68109035,184.0853119
11.675,10.68109035,184.0853119
11.676,10.68209076,184.1026611
11.676,10.68209076,184.1026611
11.677,10.68309116,184.1200104
11.677,10.68309116,184.1200104
11.678,10.68409157,184.1373596
11.678,10.68409157,184.1373596
11.679,10.68509197,184.1547089
11.679,10.68509197,184.1547089
11.68,10.68609238,184.1720581
11.68,10.68609238,184.1720581
11.681,10.68709278,184.1894073
11.681,10.68709278,184.1894073
11.682,10.68809319,184.2067413
11.682,10.68809319,184.2067413
11.683,10.68909359,184.2240753
11.683,10.68909359,184.2240753
11.684,10.69009399,184.2414246
11.684,10.69009399,184.2414246
11.685,10.6910944,184.2587585
11.685,10.6910944,184.2587585
11.686,10.6920948,184.2761078
11.686,10.6920948,184.2761078
11.687,10.69309521,184.293457
11.687,10.69309521,184.293457
11.688,10.69409561,184.3108063
11.688,10.69409561,184.3108063
11.689,10.69509602,184.3281555
11.689,10.69509602,184.3281555
11.69,10.69609642,184.3455048
11.69,10.69609642,184.3455048
11.691,10.69709682,184.362854
11.691,10.69709682,184.362854
11.692,10.69809723,184.380188
11.692,10.69809723,184.380188
11.693,10.69909763,184.3975372
11.694,10.69909763,184.3975372
11.694,10.70009804,184.4148712
11.694,10.70009804,184.4148712
11.695,10.70109844,184.4322205
11.695,10.70109844,184.4322205
11.696,10.70209885,184.4495697
11.696,10.70209885,184.4495697
11.697,10.70309925,184.4669037
11.697,10.70309925,184.4669037
11.698,10.70409966,184.4842529
11.698,10.70409966,184.4842529
11.699,10.70510006,184.5016022
11.699,10.70510006,184.5016022
11.7,10.70610046,184.5189514
11.7,10.70610046,184.5189514
11.701,10.70710087,184.5363007
11.701,10.70710087,184.5363007
11.702,10.70810127,184.5536499
11.702,10.70810127,184.5536499
11.703,10.70910168,184.5709991
11.703,10.70910168,184.5709991
11.704,10.71010208,184.5883331
11.704,10.71010208,184.5883331
11.705,10.71110249,184.6056824
11.705,10.71110249,184.6056824
11.706,10.71210289,184.6230164
11.706,10.71210289,184.6230164
11.707,10.71310329,184.6403656
11.707,10.71310329,184.6403656
11.708,10.7141037,184.6577148
11.708,10.7141037,184.6577148
11.709,10.7151041,184.6750488
11.709,10.7151041,184.6750488
11.71,10.71610451,184.6923981
11.71,10.71610451,184.6923981
11.711,10.71710491,184.7097473
11.711,10.71710491,184.7097473
11.712,10.71810532,184.7270966
11.712,10.71810532,184.7270966
11.713,10.71910572,184.7444458
11.714,10.71910572,184.7444458
11.714,10.72010612,184.761795
11.715,10.72010612,184.761795
11.715,10.72110653,184.7791443
11.715,10.72110653,184.7791443
11.716,10.72210693,184.7964783
11.716,10.72210693,184.7964783
11.717,10.72310734,184.8138275
11.717,10.72310734,184.8138275
11.718,10.72410774,184.8311615
11.718,10.72410774,184.8311615
11.719,10.72510815,184.8485107
11.719,10.72510815,184.8485107
11.72,10.72610855,184.86586
11.72,10.72610855,184.86586
11.721,10.72710896,184.883194
11.721,10.72710896,184.883194
11.722,10.72810936,184.9005432
11.722,10.72810936,184.9005432
11.723,10.72910976,184.9178925
11.723,10.72910976,184.9178925
11.724,10.73011017,184.9352417
11.724,10.73011017,184.9352417
11.725,10.73111057,184.9525909
11.725,10.73111057,184.9525909
11.726,10.73211098,184.9699402
11.726,10.73211098,184.9699402
11.727,10.73311138,184.9872894
11.727,10.73311138,184.9872894
11.728,10.73411179,185.0046234
11.728,10.73411179,185.0046234
11.729,10.73511219,185.0219727
11.729,10.73511219,185.0219727
11.73,10.73611259,185.0393066
11.73,10.73611259,185.0393066
11.731,10.737113,185.0566559
11.731,10.737113,185.0566559
11.732,10.7381134,185.0740051
11.732,10.7381134,185.0740051
11.733,10.73911381,185.0913391
11.733,10.73911381,185.0913391
11.734,10.74011421,185.1086884
11.734,10.74011421,185.1086884
11.735,10.74111462,185.1260376
11.735,10.74111462,185.1260376
11.736,10.74211502,185.1433868
11.736,10.74211502,185.1433868
11.737,10.74311543,185.1607361
11.737,10.74311543,185.1607361
11.738,10.74411583,185.1780853
11.738,10.74411583,185.1780853
11.739,10.74511623,185.1954346
11.739,10.74511623,185.1954346
11.74,10.74611664,185.2127686
11.74,10.74611664,185.2127686
11.741,10.74711704,185.2301178
11.741,10.74711704,185.2301178
11.742,10.74811745,185.2474518
11.742,10.74811745,185.2474518
11.743,10.74911785,185.264801
11.743,10.74911785,185.264801
11.744,10.75011826,185.2821503
11.744,10.75011826,185.2821503
11.745,10.75111866,185.2994843
11.745,10.75111866,185.2994843
11.746,10.75211906,185.3168335
11.746,10.75211906,185.3168335
11.747,10.75311947,185.3341827
11.747,10.75311947,185.3341827
11.748,10.75411987,185.351532
11.748,10.75411987,185.351532
11.749,10.75512028,185.3688812
11.749,10.75512028,185.3688812
11.75,10.75612068,185.3862305
11.75,10.75612068,185.3862305
11.751,10.75712109,185.4035797
11.751,10.75712109,185.4035797
11.752,10.75812149,185.4209137
11.752,10.75812149,185.4209137
11.753,10.75912189,185.4382629
11.753,10.75912189,185.4382629
11.754,10.7601223,185.4555969
11.754,10.7601223,185.4555969
11.755,10.7611227,185.4729462
11.755,10.7611227,185.4729462
11.756,10.76212311,185.4902954
11.756,10.76212311,185.4902954
11.757,10.76312351,185.5076294
11.757,10.76312351,185.5076294
11.758,10.76412392,185.5249786
11.758,10.76412392,185.5249786
11.759,10.76512432,185.5423279
11.759,10.76512432,185.5423279
11.76,10.76612473,185.5596771
11.76,10.76612473,185.5596771
11.761,10.76712513,185.5770264
11.761,10.76712513,185.5770264
11.762,10.76812553,185.5943909
11.762,10.76812553,185.5943909
11.763,10.76912594,185.6117401
11.763,10.76912594,185.6117401
11.764,10.77012634,185.6290741
11.764,10.77012634,185.6290741
11.765,10.77112675,185.6464233
11.765,10.77112675,185.6464233
11.766,10.77212715,185.6637573
11.766,10.77212715,185.6637573
11.767,10.77312756,185.6811066
11.767,10.77312756,185.6811066
11.768,10.77412796,185.6984558
11.768,10.77412796,185.6984558
11.769,10.77512836,185.7157898
11.769,10.77512836,185.7157898
11.77,10.77612877,185.733139
11.77,10.77612877,185.733139
11.771,10.77712917,185.7504883
11.771,10.77712917,185.7504883
11.772,10.77812958,185.7678375
11.772,10.77812958,185.7678375
11.773,10.77912998,185.7851868
11.773,10.77912998,185.7851868
11.774,10.78013039,185.802536
11.774,10.78013039,185.802536
11.775,10.78113079,185.8198853
11.775,10.78113079,185.8198853
