time,V_n,W_n
8.44,7.445782185,146.1791534
8.441,7.445782185,146.1791534
8.441,7.446782589,146.1988373
8.442,7.446782589,146.1988373
8.442,7.447782993,146.2185364
8.443,7.447782993,146.2185364
8.443,7.448783398,146.2382202
8.444,7.448783398,146.2382202
8.444,7.449783802,146.2578888
8.445,7.449783802,146.2578888
8.445,7.450784206,146.2775726
8.446,7.450784206,146.2775726
8.446,7.451784611,146.2972565
8.447,7.451784611,146.2972565
8.447,7.452785015,146.3169556
8.448,7.452785015,146.3169556
8.448,7.453785419,146.3366394
8.449,7.453785419,146.3366394
8.449,7.454785824,146.3563385
8.45,7.454785824,146.3563385
8.45,7.455786228,146.3760376
8.451,7.455786228,146.3760376
8.451,7.456786633,146.3957214
8.452,7.456786633,146.3957214
8.452,7.457787037,146.4154205
8.453,7.457787037,146.4154205
8.453,7.458787441,146.4351044
8.454,7.458787441,146.4351044
8.454,7.459787846,146.4548035
8.455,7.459787846,146.4548035
8.455,7.46078825,146.4744873
8.456,7.46078825,146.4744873
8.456,7.461788654,146.4941864
8.457,7.461788654,146.4941864
8.457,7.462789059,146.513855
8.458,7.462789059,146.513855
8.458,7.463789463,146.5335236
8.459,7.463789463,146.5335236
8.459,7.464789867,146.5532074
8.46,7.464789867,146.5532074
8.46,7.465790272,146.5728912
8.461,7.465790272,146.5728912
8.461,7.466790676,146.5925903
8.462,7.466790676,146.5925903
8.462,7.46779108,146.6122589
8.463,7.46779108,146.6122589
8.463,7.468791485,146.6319427
8.464,7.468791485,146.6319427
8.464,7.469791889,146.6516113
8.465,7.469791889,146.6516113
8.465,7.470792294,146.6712799
8.466,7.470792294,146.6712799
8.466,7.471792698,146.6909485
8.467,7.471792698,146.6909485
8.467,7.472793102,146.7106171
8.468,7.472793102,146.7106171
8.468,7.473793507,146.7303009
8.469,7.473793507,146.7303009
8.469,7.474793911,146.7499847
8.47,7.474793911,146.7499847
8.47,7.475794315,146.7696838
8.471,7.475794315,146.7696838
8.471,7.47679472,146.7893677
8.472,7.47679472,146.7893677
8.472,7.477795124,146.8090668
8.473,7.477795124,146.8090668
8.473,7.478795528,146.8287659
8.474,7.478795528,146.8287659
8.474,7.479795933,146.8484497
8.475,7.479795933,146.8484497
8.475,7.480796337,146.8681335
8.476,7.480796337,146.8681335
8.476,7.481796741,146.8878174
8.477,7.481796741,146.8878174
8.477,7.482797146,146.9075165
8.478,7.482797146,146.9075165
8.478,7.48379755,146.9271851
8.479,7.48379755,146.9271851
8.479,7.484797955,146.9468689
8.48,7.484797955,146.9468689
8.48,7.485798359,146.9665527
8.481,7.485798359,146.9665527
8.481,7.486798763,146.9862366
8.482,7.486798763,146.9862366
8.482,7.487799168,147.0059204
8.483,7.487799168,147.0059204
8.483,7.488799572,147.025589
8.484,7.488799572,147.025589
8.484,7.489799976,147.0452728
8.485,7.489799976,147.0452728
8.485,7.490800381,147.0649567
8.486,7.490800381,147.0649567
8.486,7.491800785,147.0846558
8.487,7.491800785,147.0846558
8.487,7.492801189,147.1043396
8.488,7.492801189,147.1043396
8.488,7.493801594,147.1240234
8.489,7.493801594,147.1240234
8.489,7.494801998,147.1437073
8.49,7.494801998,147.1437073
8.49,7.495802402,147.1633911
8.491,7.495802402,147.1633911
8.491,7.496802807,147.1830902
8.492,7.496802807,147.1830902
8.492,7.497803211,147.202774
8.493,7.497803211,147.202774
8.493,7.498803616,147.2224579
8.494,7.498803616,147.2224579
8.494,7.49980402,147.2421265
8.495,7.49980402,147.2421265
8.495,7.500804424,147.2618256
8.496,7.500804424,147.2618256
8.496,7.501804829,147.2815094
8.497,7.501804829,147.2815094
8.497,7.502805233,147.301178
8.498,7.502805233,147.301178
8.498,7.503805637,147.3208618
8.499,7.503805637,147.3208618
8.499,7.504806042,147.3405457
8.5,7.504806042,147.3405457
8.5,7.505806446,147.3602448
8.501,7.505806446,147.3602448
8.501,7.50680685,147.3799133
8.502,7.50680685,147.3799133
8.502,7.507807255,147.3995972
8.503,7.507807255,147.3995972
8.503,7.508807659,147.419281
8.504,7.508807659,147.419281
8.504,7.509808064,147.4389648
8.505,7.509808064,147.4389648
