time,V_n,W_n,
0,0.2261812686920166,0.2217971831560135,
0.002,0.3769291341304779,0.7371844053268433,
0.003,0.3769291341304779,0.7371844053268433,
0.003,0.45228222012519836,1.1063339710235596,
0.004,0.5276174545288086,1.5442882776260376,
0.005,0.6029318571090698,2.0468692779541016,
0.005,0.6029318571090698,2.0468692779541016,
0.007,0.6782224178314209,2.6100847721099854,
0.007,0.7534862756729126,3.230164051055908,
0.008,0.8287203311920166,3.9035589694976807,
0.009,0.8287203311920166,3.9035589694976807,
0.009,0.9039217233657837,4.6269354820251465,
0.01,0.9790873527526855,5.397160530090332,
0.011,0.9790873527526855,5.397160530090332,
0.011,1.0542144775390625,6.211291313171387,
0.012,1.1292998790740967,7.066564559936523,
0.013,1.1292998790740967,7.066564559936523,
0.013,1.2043406963348389,7.960383415222168,
0.014,1.2793338298797607,8.890308380126953,
0.015,1.3542766571044922,9.854048728942871,
0.016,1.3542766571044922,9.854048728942871,
0.016,1.4291659593582153,10.849448204040527,
0.017,1.5039987564086914,11.874485969543457,
0.017,1.5039987564086914,11.874485969543457,
0.018,1.5787723064422607,12.927257537841797,
0.018,1.5787723064422607,12.927257537841797,
0.019,1.653483510017395,14.005976676940918,
0.02,1.7281293869018555,15.10896110534668,
0.02,1.7281293869018555,15.10896110534668,
0.021,1.8027071952819824,16.23463249206543,
0.021,1.8027071952819824,16.23463249206543,
0.022,1.877213716506958,17.381505966186523,
0.022,1.877213716506958,17.381505966186523,
0.023,1.951646089553833,18.548179626464844,
0.023,1.951646089553833,18.548179626464844,
0.024,2.026001453399658,19.733341217041016,
0.024,2.026001453399658,19.733341217041016,
0.025,2.026001453399658,19.733341217041016,
0.025,2.1002769470214844,20.93575096130371,
0.025,2.1002769470214844,20.93575096130371,
0.026,2.1002769470214844,20.93575096130371,
0.026,2.174469470977783,22.154251098632812,
0.027,2.174469470977783,22.154251098632812,
0.027,2.2485759258270264,23.387739181518555,
0.028,2.3225936889648438,24.635190963745117,
0.028,2.3225936889648438,24.635190963745117,
0.029,2.396519660949707,25.895631790161133,
0.029,2.396519660949707,25.895631790161133,
0.03,2.470351219177246,27.16814613342285,
0.03,2.470351219177246,27.16814613342285,
0.031,2.5440850257873535,27.16814613342285,
0.031,2.5440850257873535,28.45187759399414,
0.031,2.5440850257873535,28.45187759399414,
0.032,2.617718458175659,29.746009826660156,
0.032,2.617718458175659,29.746009826660156,
0.033,2.691248655319214,31.049779891967773,
0.033,2.691248655319214,31.049779891967773,
0.034,2.7646725177764893,32.362464904785156,
0.034,2.7646725177764893,32.362464904785156,
0.035,2.837987184524536,33.68339157104492,
0.035,2.837987184524536,33.68339157104492,
0.036,2.837987184524536,33.68339157104492,
0.036,2.9111900329589844,35.01190948486328,
0.036,2.9111900329589844,35.01190948486328,
0.037,2.9842777252197266,36.34741973876953,
0.037,2.9842777252197266,36.34741973876953,
0.038,2.9842777252197266,36.34741973876953,
0.038,3.0572476387023926,37.68934631347656,
0.038,3.0572476387023926,37.68934631347656,
0.039,3.130096912384033,39.03715515136719,
0.039,3.130096912384033,39.03715515136719,
0.041,3.275421619415283,41.74840545654297,
0.041,3.275421619415283,41.74840545654297,
0.042,3.347891330718994,43.11090850830078,
0.042,3.347891330718994,43.11090850830078,
0.043,3.347891330718994,43.11090850830078,
0.043,3.420229434967041,44.477413177490234,
0.043,3.420229434967041,44.477413177490234,
0.044,3.492432117462158,45.84751510620117,
0.044,3.492432117462158,45.84751510620117,
0.045,3.5644969940185547,47.220829010009766,
0.045,3.5644969940185547,47.220829010009766,
0.046,3.5644969940185547,47.220829010009766,
0.046,3.6364212036132812,48.596988677978516,
0.047,3.6364212036132812,48.596988677978516,
0.047,3.7082014083862305,49.97564697265625,
0.048,3.7082014083862305,49.97564697265625,
0.048,3.7798357009887695,51.356475830078125,
0.049,3.7798357009887695,51.356475830078125,
0.049,3.85132098197937,52.73917007446289,
