time,V_n,W_n,
0,0.2261812686920166,0.022903889417648315,
0.002,0.301561176776886,0.06597897410392761,
0.002,0.3769291341304779,0.12914809584617615,
0.003,0.3769291341304779,0.12914809584617615,
0.003,0.45228222012519836,0.21206437051296234,
0.004,0.45228222012519836,0.21206437051296234,
0.004,0.45228222012519836,0.21206437051296234,
0.004,0.5276174545288086,0.31441348791122437,
0.005,0.5276174545288086,0.31441348791122437,
0.005,0.5276174545288086,0.31441348791122437,
0.006,0.6029318571090698,0.4358823895454407,
0.006,0.6782224178314209,0.4358823895454407,
0.006,0.6782224178314209,0.576162576675415,
0.007,0.6782224178314209,0.576162576675415,
0.007,0.6782224178314209,0.576162576675415,
0.007,0.7534862756729126,0.73494952917099,
0.008,0.7534862756729126,0.73494952917099,
0.008,0.8287203311920166,0.911942720413208,
0.009,0.8287203311920166,0.911942720413208,
0.009,0.9039217233657837,1.1068456172943115,
0.01,0.9039217233657837,1.1068456172943115,
0.01,0.9790873527526855,1.3193656206130981,
0.011,0.9790873527526855,1.3193656206130981,
0.011,1.0542144775390625,1.5492138862609863,
0.012,1.0542144775390625,1.5492138862609863,
0.012,1.1292998790740967,1.7961053848266602,
0.013,1.1292998790740967,1.7961053848266602,
0.013,1.2043406963348389,2.0597586631774902,
0.014,1.2043406963348389,2.0597586631774902,
0.014,1.2793338298797607,2.3398962020874023,
0.015,1.2793338298797607,2.3398962020874023,
0.015,1.3542766571044922,2.6362438201904297,
0.016,1.3542766571044922,2.6362438201904297,
0.016,1.4291659593582153,2.948530912399292,
0.017,1.4291659593582153,2.948530912399292,
0.017,1.5039987564086914,3.2764906883239746,
0.018,1.5039987564086914,3.2764906883239746,
0.018,1.5787723064422607,3.619858980178833,
0.019,1.5787723064422607,3.619858980178833,
0.019,1.653483510017395,3.9783759117126465,
0.02,1.653483510017395,3.9783759117126465,
0.02,1.7281293869018555,4.3517842292785645,
0.021,1.7281293869018555,4.3517842292785645,
0.021,1.8027071952819824,4.73983097076416,
0.022,1.8027071952819824,4.73983097076416,
0.022,1.877213716506958,5.142264366149902,
0.023,1.877213716506958,5.142264366149902,
0.023,1.951646089553833,5.558838367462158,
0.024,1.951646089553833,5.558838367462158,
0.024,2.026001453399658,5.989307880401611,
0.025,2.026001453399658,5.989307880401611,
0.025,2.1002769470214844,6.433432102203369,
0.026,2.1002769470214844,6.433432102203369,
0.026,2.174469470977783,6.890973091125488,
0.027,2.174469470977783,6.890973091125488,
0.027,2.2485759258270264,7.361695766448975,
0.028,2.2485759258270264,7.361695766448975,
0.028,2.3225936889648438,7.845367908477783,
0.029,2.3225936889648438,7.845367908477783,
0.029,2.396519660949707,8.34175968170166,
0.03,2.396519660949707,8.34175968170166,
0.03,2.470351219177246,8.850645065307617,
0.031,2.470351219177246,8.850645065307617,
0.031,2.5440850257873535,9.37179946899414,
0.032,2.5440850257873535,9.37179946899414,
0.032,2.617718458175659,9.905004501342773,
0.033,2.617718458175659,9.905004501342773,
0.033,2.691248655319214,10.45003890991211,
0.034,2.691248655319214,10.45003890991211,
0.034,2.7646725177764893,11.006688117980957,
0.035,2.7646725177764893,11.006688117980957,
0.035,2.837987184524536,11.574739456176758,
0.036,2.837987184524536,11.574739456176758,
0.036,2.9111900329589844,12.153983116149902,
0.037,2.9111900329589844,12.153983116149902,
0.037,2.9842777252197266,12.744210243225098,
0.038,2.9842777252197266,12.744210243225098,
0.038,3.0572476387023926,13.345216751098633,
0.039,3.0572476387023926,13.345216751098633,
0.039,3.130096912384033,13.956798553466797,
0.04,3.130096912384033,13.956798553466797,
0.04,3.202822685241699,14.578755378723145,
0.041,3.202822685241699,14.578755378723145,
0.041,3.275421619415283,15.21088981628418,
0.042,3.275421619415283,15.21088981628418,
0.042,3.347891330718994,15.853004455566406,
0.043,3.347891330718994,15.853004455566406,
0.043,3.420229434967041,16.504907608032227,
0.044,3.420229434967041,16.504907608032227,
0.044,3.492432117462158,17.166410446166992,
0.045,3.492432117462158,17.166410446166992,
0.045,3.5644969940185547,17.83732032775879,
0.046,3.5644969940185547,17.83732032775879,
0.046,3.6364212036132812,18.5174503326416,
0.047,3.6364212036132812,18.5174503326416,
0.047,3.7082014083862305,19.206615447998047,
0.048,3.7082014083862305,19.206615447998047,
0.048,3.7798357009887695,19.90463638305664,
0.049,3.7798357009887695,19.90463638305664,
0.049,3.85132098197937,20.611331939697266,
0.05,3.85132098197937,20.611331939697266,
0.05,3.9226536750793457,21.32652473449707,
0.051,3.9226536750793457,21.32652473449707,
0.051,3.9938316345214844,22.050037384033203,
0.052,3.9938316345214844,22.050037384033203,
0.052,4.064852237701416,22.781696319580078,
0.053,4.064852237701416,22.781696319580078,
0.053,4.135712146759033,23.521329879760742,
0.054,4.135712146759033,23.521329879760742,
0.054,4.206408500671387,24.268768310546875,
0.055,4.206408500671387,24.268768310546875,
0.055,4.276939392089844,25.02384376525879,
0.056,4.276939392089844,25.02384376525879,
0.056,4.347301006317139,25.786388397216797,
0.057,4.347301006317139,25.786388397216797,
0.057,4.417491436004639,26.556238174438477,
0.058,4.417491436004639,26.556238174438477,
0.058,4.487506866455078,27.33323097229004,
0.059,4.487506866455078,27.33323097229004,
0.059,4.557345390319824,28.117206573486328,
0.06,4.557345390319824,28.117206573486328,
0.06,4.627004623413086,28.908004760742188,
0.061,4.627004623413086,28.908004760742188,
0.061,4.6964802742004395,29.705469131469727,
0.062,4.6964802742004395,29.705469131469727,
0.062,4.76577091217041,30.509443283081055,
0.063,4.76577091217041,30.509443283081055,
0.063,4.834873676300049,31.319774627685547,
0.064,4.834873676300049,31.319774627685547,
0.064,4.903785705566406,32.13631057739258,
0.065,4.903785705566406,32.13631057739258,
0.065,4.972504138946533,32.958900451660156,
0.066,4.972504138946533,32.958900451660156,
0.066,5.0410261154174805,33.78739547729492,
0.067,5.0410261154174805,33.78739547729492,
0.067,5.109348297119141,34.621646881103516,
0.068,5.109348297119141,34.621646881103516,
0.068,5.1774702072143555,35.46151351928711,
0.069,5.1774702072143555,35.46151351928711,
0.069,5.245387077331543,36.30685043334961,
0.07,5.245387077331543,36.30685043334961,
0.07,5.313096523284912,37.15751266479492,
0.071,5.313096523284912,37.15751266479492,
0.071,5.380596160888672,38.013362884521484,
0.072,5.4478840827941895,38.87425994873047,
0.073,5.4478840827941895,38.87425994873047,
0.073,5.4478840827941895,38.87425994873047,
0.074,5.514956474304199,39.74005889892578,
0.074,5.514956474304199,39.74005889892578,
0.074,5.58181095123291,40.61063003540039,
0.075,5.58181095123291,40.61063003540039,
0.075,5.6484456062316895,41.485836029052734,
0.076,5.6484456062316895,41.485836029052734,
0.076,5.71485710144043,42.36555099487305,
0.077,5.71485710144043,42.36555099487305,
0.077,5.781042098999023,43.249629974365234,
0.078,5.781042098999023,43.249629974365234,
0.078,5.8470001220703125,44.13795852661133,
0.079,5.8470001220703125,44.13795852661133,
0.079,5.912727355957031,45.030391693115234,
0.08,5.912727355957031,45.030391693115234,
0.08,5.978219985961914,45.92681121826172,
0.081,5.978219985961914,45.92681121826172,
0.081,6.043477535247803,46.827083587646484,
0.082,6.043477535247803,46.827083587646484,
0.083,6.10849666595459,47.73108673095703,
0.083,6.10849666595459,47.73108673095703,
0.083,6.173274040222168,48.638694763183594,
0.084,6.173274040222168,48.638694763183594,
0.084,6.237807273864746,49.549781799316406,
0.085,6.237807273864746,49.549781799316406,
0.085,6.302095413208008,50.4642333984375,
0.086,6.302095413208008,50.4642333984375,
0.086,6.366133689880371,51.38192367553711,
0.087,6.366133689880371,51.38192367553711,
0.087,6.429921627044678,52.302734375,
0.088,6.429921627044678,52.302734375,
0.088,6.49345588684082,53.2265510559082,
0.089,6.49345588684082,53.2265510559082,
0.089,6.556732177734375,54.15325164794922,
0.09,6.556732177734375,54.15325164794922,
0.09,6.6197509765625,55.082725524902344,
0.091,6.6197509765625,55.082725524902344,
0.091,6.682507514953613,56.014854431152344,
0.092,6.682507514953613,56.014854431152344,
0.092,6.745000839233398,56.949520111083984,
0.093,6.745000839233398,56.949520111083984,
0.093,6.807227611541748,57.88661575317383,
0.094,6.807227611541748,57.88661575317383,
0.094,6.8691864013671875,58.82603073120117,
0.095,6.8691864013671875,58.82603073120117,
0.095,6.930873870849609,59.76765441894531,
0.096,6.930873870849609,59.76765441894531,
0.096,6.992286682128906,60.71137619018555,
0.097,6.992286682128906,60.71137619018555,
0.097,7.05342435836792,61.65708923339844,
0.098,7.05342435836792,61.65708923339844,
0.098,7.114282608032227,62.60468673706055,
0.099,7.114282608032227,62.60468673706055,
0.099,7.174860954284668,63.5540657043457,
0.1,7.174860954284668,63.5540657043457,
0.1,7.235156059265137,64.50511932373047,
0.101,7.235156059265137,64.50511932373047,
0.101,7.295165061950684,65.4577407836914,
0.102,7.295165061950684,65.4577407836914,
0.102,7.354887008666992,66.41182708740234,
0.103,7.354887008666992,66.41182708740234,
0.103,7.4143171310424805,67.36727905273438,
0.104,7.4143171310424805,67.36727905273438,
0.104,7.473455429077148,68.32398986816406,
0.105,7.473455429077148,68.32398986816406,
0.105,7.5322980880737305,69.28186798095703,
0.106,7.5322980880737305,69.28186798095703,
0.106,7.59084415435791,70.24080657958984,
0.107,7.59084415435791,70.24080657958984,
0.107,7.649089813232422,71.20071411132812,
0.108,7.649089813232422,71.20071411132812,
0.108,7.707034111022949,72.16148376464844,
0.109,7.707034111022949,72.16148376464844,
0.109,7.764674186706543,73.1230239868164,
0.11,7.764674186706543,73.1230239868164,
0.11,7.822007179260254,74.08525085449219,
0.111,7.822007179260254,74.08525085449219,
0.111,7.879032135009766,75.04805755615234,
0.112,7.879032135009766,75.04805755615234,
0.112,7.9357452392578125,76.01134490966797,
0.113,7.9357452392578125,76.01134490966797,
0.113,7.992145538330078,76.97503662109375,
0.114,7.992145538330078,76.97503662109375,
0.114,8.048230171203613,77.93902587890625,
0.115,8.048230171203613,77.93902587890625,
0.115,8.103997230529785,78.90323638916016,
0.116,8.103997230529785,78.90323638916016,
0.116,8.159443855285645,79.86756896972656,
0.117,8.159443855285645,79.86756896972656,
0.117,8.214568138122559,80.8319320678711,
0.118,8.214568138122559,80.8319320678711,
0.118,8.269369125366211,81.7962417602539,
0.119,8.269369125366211,81.7962417602539,
0.119,8.323843002319336,82.76040649414062,
0.12,8.323843002319336,82.76040649414062,
0.12,8.377988815307617,83.7243423461914,
0.121,8.377988815307617,83.7243423461914,
0.121,8.431802749633789,84.68795776367188,
0.122,8.431802749633789,84.68795776367188,
0.122,8.485285758972168,85.65117645263672,
0.123,8.485285758972168,85.65117645263672,
0.123,8.538432121276855,86.61389923095703,
0.124,8.538432121276855,86.61389923095703,
0.124,8.591241836547852,87.5760498046875,
0.125,8.591241836547852,87.5760498046875,
0.125,8.643712997436523,88.53755187988281,
0.126,8.643712997436523,88.53755187988281,
0.126,8.695841789245605,89.4983139038086,
0.127,8.695841789245605,89.4983139038086,
0.127,8.747627258300781,90.45825958251953,
0.128,8.747627258300781,90.45825958251953,
0.128,8.799068450927734,91.41730499267578,
0.129,8.799068450927734,91.41730499267578,
0.129,8.8501615524292,92.3753662109375,
0.13,8.8501615524292,92.3753662109375,
0.13,8.90090560913086,93.33236694335938,
0.131,8.90090560913086,93.33236694335938,
0.131,8.951297760009766,94.2882308959961,
0.132,8.951297760009766,94.2882308959961,
0.132,9.001337051391602,95.24288177490234,
0.133,9.001337051391602,95.24288177490234,
0.133,9.051020622253418,96.19624328613281,
0.134,9.051020622253418,96.19624328613281,
0.134,9.100347518920898,97.14823150634766,
0.135,9.100347518920898,97.14823150634766,
0.135,9.149313926696777,98.09876251220703,
0.136,9.149313926696777,98.09876251220703,
0.136,9.197920799255371,99.04777526855469,
0.137,9.197920799255371,99.04777526855469,
0.137,9.246164321899414,99.99519348144531,
0.138,9.246164321899414,99.99519348144531,
0.138,9.294041633605957,100.9409408569336,
0.139,9.294041633605957,100.9409408569336,
0.139,9.341552734375,101.88494110107422,
0.14,9.341552734375,101.88494110107422,
0.14,9.388694763183594,102.82711791992188,
0.141,9.388694763183594,102.82711791992188,
0.141,9.435465812683105,103.76741027832031,
0.142,9.435465812683105,103.76741027832031,
0.142,9.481864929199219,104.70574188232422,
0.143,9.481864929199219,104.70574188232422,
0.143,9.5278902053833,105.64203643798828,
0.144,9.5278902053833,105.64203643798828,
0.144,9.573537826538086,106.57624053955078,
0.145,9.573537826538086,106.57624053955078,
0.145,9.61880874633789,107.50826263427734,
0.146,9.61880874633789,107.50826263427734,
0.146,9.66369915008545,108.43804931640625,
0.147,9.66369915008545,108.43804931640625,
0.147,9.708209037780762,109.36551666259766,
0.148,9.708209037780762,109.36551666259766,
0.148,9.752335548400879,110.29061126708984,
0.149,9.752335548400879,110.29061126708984,
0.149,9.796076774597168,111.21326446533203,
0.15,9.796076774597168,111.21326446533203,
0.15,9.839430809020996,112.13340759277344,
0.151,9.839430809020996,112.13340759277344,
0.151,9.882396697998047,113.05097198486328,
0.152,9.882396697998047,113.05097198486328,
0.152,9.924971580505371,113.96589660644531,
0.153,9.924971580505371,113.96589660644531,
0.153,9.967155456542969,114.87810516357422,
0.154,9.967155456542969,114.87810516357422,
0.154,10.008947372436523,115.78754425048828,
0.155,10.008947372436523,115.78754425048828,
0.155,10.050342559814453,116.69414520263672,
0.156,10.050342559814453,116.69414520263672,
0.156,10.091341018676758,117.59783935546875,
0.157,10.091341018676758,117.59783935546875,
0.157,10.131940841674805,118.49857330322266,
0.158,10.131940841674805,118.49857330322266,
0.158,10.172140121459961,119.39628601074219,
0.159,10.172140121459961,119.39628601074219,
0.159,10.211938858032227,120.29090118408203,
0.16,10.211938858032227,120.29090118408203,
0.16,10.251335144042969,121.18238067626953,
0.161,10.251335144042969,121.18238067626953,
0.161,10.290325164794922,122.07064819335938,
0.162,10.290325164794922,122.07064819335938,
0.162,10.328909873962402,122.95564270019531,
